S.No,District,Market,Commodity,Variety,Grade,Min Price,Max Price,Model Price,Date
1,Delhi,Azadpur,Apple,American,Large,1143,6875,4330,13 Feb 2025
2,Delhi,Azadpur,Apple,American,Large,1143,7143,4330,14 Feb 2025
3,Delhi,Azadpur,Apple,American,Large,1143,7143,4330,15 Feb 2025
4,Delhi,Azadpur,Apple,American,Large,1143,7143,4330,17 Feb 2025
5,Delhi,Azadpur,Apple,American,Large,1143,7143,4330,18 Feb 2025
6,Delhi,Azadpur,Apple,American,Large,1143,7143,4330,19 Feb 2025
7,Delhi,Azadpur,Apple,American,Large,1143,7143,4330,20 Feb 2025
8,Delhi,Azadpur,Apple,Royal Delicious,Large,6000,14000,10250,13 Feb 2025
9,Delhi,Azadpur,Apple,Royal Delicious,Large,6000,14000,10250,14 Feb 2025
10,Delhi,Azadpur,Apple,Royal Delicious,Large,6000,14000,10250,15 Feb 2025
11,Delhi,Azadpur,Apple,Royal Delicious,Large,6000,14000,10250,17 Feb 2025
12,Delhi,Azadpur,Apple,Royal Delicious,Large,6000,14000,10250,18 Feb 2025
13,Delhi,Azadpur,Apple,Royal Delicious,Large,6000,14000,10250,19 Feb 2025
14,Delhi,Azadpur,Apple,Royal Delicious,Large,6000,14000,10250,20 Feb 2025
1,Bangalore,"Binny Mill (F&V), Bangalore",Apple,Apple,Large,8000,14000,12000,17 Feb 2025
2,Bangalore,"Binny Mill (F&V), Bangalore",Apple,Apple,Large,10000,14000,12000,20 Feb 2025
3,Bangalore,"Binny Mill (F&V), Bangalore",Apple,Apple,Large,10000,15000,13000,13 Feb 2025
4,Bangalore,"Binny Mill (F&V), Bangalore",Apple,Apple,Large,10000,15000,13000,14 Feb 2025
5,Bangalore,"Binny Mill (F&V), Bangalore",Apple,Apple,Large,10000,15000,13000,18 Feb 2025
6,Bangalore,"Binny Mill (F&V), Bangalore",Apple,Apple,Large,10000,16000,12000,15 Feb 2025
7,Bangalore,"Binny Mill (F&V), Bangalore",Apple,Apple,Large,10000,16000,14000,19 Feb 2025
1,Auraiya,Achalda,Apple,Delicious,Medium,7500,7700,7600,13 Feb 2025
2,Auraiya,Achalda,Apple,Delicious,Medium,7500,7700,7600,14 Feb 2025
3,Auraiya,Achalda,Apple,Delicious,Medium,7500,7700,7600,15 Feb 2025
4,Auraiya,Achalda,Apple,Delicious,Medium,7500,7700,7600,17 Feb 2025
5,Auraiya,Achalda,Apple,Delicious,Medium,7700,7900,7800,18 Feb 2025
6,Auraiya,Achalda,Apple,Delicious,Medium,7700,7900,7810,20 Feb 2025
7,Auraiya,Achalda,Apple,Delicious,Medium,7720,7850,7800,19 Feb 2025
8,Agra,Agra,Apple,Kasmir/Shimla - II,Medium,7800,8200,7950,17 Feb 2025
9,Agra,Agra,Apple,Kasmir/Shimla - II,Medium,7900,8500,8250,18 Feb 2025
10,Agra,Agra,Apple,Kasmir/Shimla - II,Medium,8000,8500,8260,19 Feb 2025
11,Agra,Agra,Apple,Kasmir/Shimla - II,Medium,8100,8500,8300,13 Feb 2025
12,Agra,Agra,Apple,Kasmir/Shimla - II,Medium,8200,8550,8340,15 Feb 2025
13,Agra,Agra,Apple,Kasmir/Shimla - II,Medium,8200,8600,8350,14 Feb 2025
14,Ambedkarnagar,Akbarpur,Apple,Delicious,Medium,7200,7450,7410,15 Feb 2025
15,Ambedkarnagar,Akbarpur,Apple,Delicious,Medium,7300,7500,7400,13 Feb 2025
16,Ambedkarnagar,Akbarpur,Apple,Delicious,Medium,7300,7550,7450,19 Feb 2025
17,Ambedkarnagar,Akbarpur,Apple,Delicious,Medium,7400,7450,7420,18 Feb 2025
18,Ambedkarnagar,Akbarpur,Apple,Delicious,Medium,7400,7500,7420,17 Feb 2025
19,Ambedkarnagar,Akbarpur,Apple,Delicious,Medium,7500,7700,7600,20 Feb 2025
20,Aligarh,Aligarh,Apple,Delicious,Medium,8240,8400,8340,19 Feb 2025
21,Aligarh,Aligarh,Apple,Delicious,Medium,8250,8400,8350,20 Feb 2025
22,Aligarh,Aligarh,Apple,Delicious,Medium,8250,8450,8350,18 Feb 2025
23,Aligarh,Aligarh,Apple,Delicious,Medium,8250,8450,8360,14 Feb 2025
24,Aligarh,Aligarh,Apple,Delicious,Medium,8300,8400,8350,15 Feb 2025
25,Aligarh,Aligarh,Apple,Delicious,Medium,8300,8400,8360,17 Feb 2025
26,Aligarh,Aligarh,Apple,Delicious,Medium,8300,8450,8370,16 Feb 2025
27,Aligarh,Aligarh,Apple,Delicious,Medium,8300,8600,8350,13 Feb 2025
28,Prayagraj,Allahabad,Apple,Kasmir/Shimla - II,Medium,8100,8200,8170,14 Feb 2025
29,Prayagraj,Allahabad,Apple,Kasmir/Shimla - II,Medium,8100,8240,8150,13 Feb 2025
30,Prayagraj,Allahabad,Apple,Kasmir/Shimla - II,Medium,8250,8350,8270,20 Feb 2025
31,Amroha,Amroha,Apple,Delicious,Medium,7800,7900,7840,14 Feb 2025
32,Maharajganj,Anandnagar,Apple,Delicious,Medium,7000,8000,7500,13 Feb 2025
33,Maharajganj,Anandnagar,Apple,Delicious,Medium,7000,8000,7500,14 Feb 2025
34,Maharajganj,Anandnagar,Apple,Delicious,Medium,7000,8000,7500,15 Feb 2025
35,Maharajganj,Anandnagar,Apple,Delicious,Medium,7000,8000,7500,17 Feb 2025
36,Maharajganj,Anandnagar,Apple,Delicious,Medium,7000,8000,7500,18 Feb 2025
37,Maharajganj,Anandnagar,Apple,Delicious,Medium,7200,8000,7600,20 Feb 2025
38,Banda,Atarra,Apple,Kasmir/Shimla - II,Medium,8040,8190,8115,18 Feb 2025
39,Banda,Atarra,Apple,Kasmir/Shimla - II,Medium,8040,8240,8140,17 Feb 2025
40,Banda,Atarra,Apple,Kasmir/Shimla - II,Medium,8050,8200,8125,15 Feb 2025
41,Banda,Atarra,Apple,Kasmir/Shimla - II,Medium,8050,8250,8150,19 Feb 2025
42,Banda,Atarra,Apple,Kasmir/Shimla - II,Medium,8050,8250,8150,20 Feb 2025
43,Auraiya,Auraiya,Apple,Delicious,Medium,7400,7800,7600,14 Feb 2025
44,Auraiya,Auraiya,Apple,Delicious,Medium,7400,7800,7620,13 Feb 2025
45,Auraiya,Auraiya,Apple,Delicious,Medium,7600,8000,7800,15 Feb 2025
46,Auraiya,Auraiya,Apple,Delicious,Medium,7600,8000,7800,17 Feb 2025
47,Auraiya,Auraiya,Apple,Delicious,Medium,7600,8000,7800,18 Feb 2025
48,Auraiya,Auraiya,Apple,Delicious,Medium,7600,8000,7810,19 Feb 2025
49,Auraiya,Auraiya,Apple,Delicious,Medium,7700,8100,7950,20 Feb 2025
